display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01803] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01804] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01804] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01805] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01806] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01807] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01808] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01809] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01810] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01810] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01811] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01812] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01813] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01814] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01814] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01815] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01816] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01817] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01818] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01818] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01819] Single Buffer requirement not met.
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1668 d3d_create_display_internals     [   0.01820] Trying format 0.
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.01847] Chose a display format: 23
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.01849] Normal window.
